num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
222,10,2016,2,1,7,1902,19,2,1,99,27,2,1,3,56,2,2006,2,4,4,6,1,1,4,2016
223,10,2016,22,1,7,509,5,1,1,99,25,9,1,1,69,2,2003,1,4,4,6,4,3,4,2016
224,10,2016,22,1,7,509,5,1,1,99,34,9,1,4,27,5,2015,1,5,5,7,4,3,5,2016
225,10,2016,14,1,7,1201,12,1,1,99,31,9,1,10,69,6,1995,1,5,5,7,3,2,3,2016
226,10,2016,14,1,7,1201,12,1,1,99,24,9,1,4,32,1,9999,1,3,3,5,3,2,6,2016
227,10,2016,11,1,7,1301,13,1,1,99,31,9,1,3,69,2,9999,1,5,5,7,2,1,6,2016
228,10,2016,11,1,7,1301,13,1,1,99,15,9,2,1,69,3,9999,1,2,2,4,2,1,6,2016
229,10,2016,3,1,7,1805,18,2,1,99,21,9,1,4,999,99,9999,4,3,3,5,1,1,6,2016
230,10,2016,23,1,7,1804,18,1,1,99,20,2,1,4,2,5,2006,2,3,3,5,4,3,4,2016
231,10,2016,1,1,7,1701,17,2,1,99,35,9,1,4,18,5,9999,1,6,6,8,1,1,6,2016
232,10,2016,1,1,7,1701,17,2,1,99,16,9,2,4,6,1,9999,1,2,2,4,1,1,6,2016
