num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
9091,2018,24,18,4,3,12,1,2102,21,99,1,16,2,2,4,9,1,4,3,4,9999,99,1,2018
9092,2018,24,18,4,3,12,1,2102,21,99,9,999,16,12,18,9,9,99,999,99,9999,99,1,2018
9093,2018,24,20,4,3,12,1,1016,10,99,1,21,3,3,5,9,1,4,67,3,9999,99,1,2018
9094,2018,24,2,1,1,12,1,1609,16,99,1,19,2,2,4,9,1,4,999,5,9999,99,2,2018
9095,2018,24,2,1,1,12,1,1804,18,99,1,39,6,6,8,9,1,1,48,5,1997,3,1,2018
9096,2018,24,2,1,1,12,1,1804,18,99,1,51,9,9,11,9,1,6,19,3,1998,3,1,2018
9097,2018,24,12,3,2,12,1,1805,18,99,1,999,16,12,18,9,2,4,999,99,9999,99,1,2018
9098,2018,24,10,2,1,12,1,1413,14,99,1,42,7,7,9,9,1,3,999,6,1999,3,1,2018
9099,2018,24,10,2,1,12,1,1413,14,99,1,60,11,11,13,9,1,4,999,3,9999,99,1,2018
9100,2018,24,18,4,3,12,1,1411,14,99,1,22,3,3,5,9,1,4,999,99,9999,99,1,2018
9101,2018,24,18,4,3,12,1,1411,14,99,1,20,3,3,5,9,1,1,999,99,9999,99,1,2018
9102,2018,24,21,4,3,12,1,710,7,99,1,22,3,3,5,9,1,1,28,99,9999,99,3,2018
9103,2018,24,22,4,3,12,1,309,3,99,1,24,3,3,5,9,1,1,69,99,2000,4,2,2018
9104,2018,20,10,2,1,12,4,106,1,99,1,35,6,6,8,2,1,14,999,1,2018,5,3,2018
9105,2018,24,5,1,1,12,1,115,1,99,1,15,2,2,4,9,2,1,999,99,9999,99,1,2018
9106,2018,24,5,1,1,12,1,115,1,99,1,27,4,4,6,9,2,4,18,4,9999,99,1,2018
9107,2018,25,21,4,3,12,2,2101,21,99,1,57,10,10,12,9,1,2,41,4,2001,4,1,2018
9108,2018,25,21,4,3,12,2,2101,21,99,1,31,5,5,7,9,1,4,54,1,2000,4,1,2018
9109,2018,25,13,3,2,12,2,1701,17,99,1,35,6,6,8,9,1,4,32,5,2014,5,1,2018
9110,2018,25,13,3,2,12,2,1701,17,99,1,24,3,3,5,9,1,4,76,1,9999,99,1,2018
9111,2018,25,18,4,3,12,2,108,1,99,1,80,15,11,17,9,1,1,52,5,9999,99,1,2018
9112,2018,25,18,4,3,12,2,108,1,99,1,32,5,5,7,9,1,4,27,14,9999,99,1,2018
9113,2018,25,3,1,1,12,2,501,5,99,1,32,5,5,7,9,1,4,59,1,9999,99,1,2018
9114,2018,25,3,1,1,12,2,501,5,99,1,21,3,3,5,9,1,4,6,5,9999,99,1,2018
9115,2018,25,22,4,3,12,2,1010,10,99,1,21,3,3,5,9,1,3,69,3,9999,99,1,2018
9116,2018,25,22,4,3,12,2,1010,10,99,1,999,16,12,18,9,1,12,999,99,9999,99,1,2018
9117,2018,25,16,3,2,12,2,1705,17,99,1,24,3,3,5,9,1,4,27,2,9999,99,1,2018
9118,2018,25,16,3,2,12,2,1705,17,99,1,28,4,4,6,9,1,4,27,5,9999,99,1,2018
9119,2018,25,5,1,1,12,2,101,1,11,1,23,3,3,5,9,1,1,27,5,9999,99,2,2018
9120,2018,25,5,1,1,12,2,101,1,2,1,22,3,3,5,9,1,4,84,5,9999,99,6,2018
9121,2018,25,14,3,2,12,2,110,1,99,1,27,4,4,6,9,1,4,999,99,9999,99,1,2018
9122,2018,25,14,3,2,12,2,110,1,99,9,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9123,2018,25,21,4,3,12,2,2001,20,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9124,2018,25,21,4,3,12,2,2001,20,99,1,999,16,12,18,9,1,4,999,99,9999,99,1,2018
9125,2018,25,3,1,1,12,2,1801,18,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9126,2018,25,3,1,1,12,2,1801,18,99,1,999,16,12,18,9,1,4,76,99,9999,99,1,2018
9127,2018,25,20,4,3,12,2,115,1,99,1,19,2,2,4,9,1,4,999,99,9999,99,6,2018
9128,2018,25,23,4,3,12,2,1001,10,99,1,45,8,8,10,9,1,3,999,99,1998,3,3,2018
9129,2018,26,10,2,1,12,3,101,1,1,1,31,5,5,7,9,1,1,27,4,1999,3,1,2018
9130,2018,26,10,2,1,12,3,101,1,1,1,34,5,5,7,9,1,4,67,1,9999,99,1,2018
9131,2018,23,23,4,3,12,7,107,1,99,1,32,5,5,7,9,1,1,27,99,9999,99,1,2018
9132,2018,23,23,4,3,12,7,107,1,99,1,27,4,4,6,9,1,1,48,4,9999,99,1,2018
9133,2018,26,17,3,2,12,3,2201,22,99,1,50,9,9,11,9,1,5,26,2,2014,5,1,2018
9134,2018,26,17,3,2,12,3,2201,22,99,1,24,3,3,5,9,1,4,67,3,9999,99,1,2018
9135,2018,26,17,3,2,12,3,2217,22,99,1,39,6,6,8,9,1,9,999,4,9999,99,1,2018
9136,2018,26,17,3,2,12,3,2217,22,99,1,14,1,1,3,9,2,4,999,99,9999,99,1,2018
9137,2018,26,0,1,1,12,3,1603,16,99,1,999,16,12,18,9,1,4,1,1,9999,99,2,2018
9138,2018,26,17,3,2,12,3,1901,19,99,1,49,8,8,10,9,1,4,27,1,9999,99,2,2018
9139,2018,26,2,1,1,12,3,1701,17,99,1,26,4,4,6,9,1,4,999,99,9999,99,2,2018
9140,2018,26,18,4,3,12,3,802,8,99,1,32,5,5,7,2,1,9,69,2,2007,4,1,2018
9141,2018,26,18,4,3,12,3,802,8,99,1,999,16,12,18,9,1,3,69,9,9999,99,1,2018
9142,2018,26,22,4,3,12,3,304,3,99,1,20,3,3,5,9,1,4,999,1,9999,99,2,2018
9143,2018,26,18,4,3,12,3,101,1,1,1,22,3,3,5,9,1,1,52,10,1985,2,1,2018
9144,2018,26,18,4,3,12,3,101,1,1,1,19,2,2,4,9,1,4,67,3,9999,99,1,2018
9145,2018,26,20,4,3,12,3,115,1,99,1,44,7,7,9,9,1,4,76,14,9999,99,1,2018
9146,2018,26,20,4,3,12,3,115,1,99,1,33,5,5,7,9,1,4,67,99,9999,99,1,2018
9147,2018,26,20,4,3,12,3,2101,21,99,1,55,10,10,12,9,1,2,69,4,9999,99,1,2018
9148,2018,26,20,4,3,12,3,2101,21,99,1,39,6,6,8,9,1,3,69,9,9999,99,1,2018
9149,2018,27,8,2,1,12,4,506,5,99,2,24,3,3,5,9,1,4,999,99,9999,99,2,2018
9150,2018,27,17,3,2,12,4,1608,16,99,9,999,16,12,18,9,1,1,999,99,9999,99,2,2018
9151,2018,27,12,3,2,12,4,1701,17,99,1,999,16,12,18,9,1,1,52,4,2010,5,1,2018
9152,2018,27,12,3,2,12,4,1701,17,99,2,28,4,4,6,9,1,4,77,99,9999,99,1,2018
9153,2018,27,0,1,1,12,4,1001,10,99,1,24,3,3,5,9,1,4,999,99,9999,99,1,2018
